"word1","word2","n"
"education","courses",595
"esl","vocational",595
"exam","preparation",595
"including","ged",595
"learners","including",595
"preparation","esl",595
"street","highway",595
"tasc","exam",595
"tunnel","closures",595
"vocational","training",595
"service","requests",592
"including","maps",582
"planning","publications",582
"publications","including",582
"supportive","housing",573
"site","safety",572
"19","health",571
"city's","school",571
"rent","security",570
"security","deposit",570
"construction","restart",567
"restart","safety",567
"dca","online",566
"online","services",566
"broken","leaking",565
"frozen","missing",565
"leaking","frozen",565
"report","missing",563
"rules","regulations",560
"training","requirements",560
"stump","removals",559
"tree","stump",559
"property","drainpipe",557
"conditioner","ventilation",549
"exhaust","device",549
"ventilation","equipment",549
"facility","schedule",545
"inmate","property",545
"personal","items",545
"property","pickup",545
"perform","construction",543
"poison","related",543
"report","waste",543
"waste","leaking",543
"home","improvement",540
"dust","due",539
"lead","dust",539
"paint","peeling",539
"peeling","paint",539
"report","lead",539
"building","floor",537
"floor","plans",537
"health","department",530
"person","defecating",529
"disabled","rent",524
"drie","programs",524
"veterans","property",524
"machine","ballot",522
"poll","site",522
"site","voting",522
"voting","machine",522
"occupancy","residential",521
"residential","facility",521
"selling","alcohol",521
"construction","material",517
"store","construction",517
"recycling","rules",516
"city","commercial",513
"commercial","motor",513
"tax","cmvt",513
"vehicle","tax",513
"orthodontic","services",512
"nyc","ferry",510
"sewage","leak",510
"department","online",509
"online","licenses",509
"city","trees",504
"destroying","city",504
"ferry","including",502
"including","routes",502
"lost","item",502
"maintenance","water",502
"routes","fares",502
"safety","equipment",502
"professional","misconduct",501
"report","professional",501
"foster","care",500
"ecb","violations",499
"submit","proof",499
"papers","required",498
"traveling","abroad",495
"city's","traffic",494
"person","selling",491
"illegally","removed",490
"report","asbestos",490
"based","violence",488
"domestic","intimate",488
"elder","abuse",488
"gender","based",488
"intimate","partner",488
"sex","trafficking",488
"stop","center",488
"violence","elder",488
"enrollment","assistance",484
"insurance","plan",484
"person","enrollment",484
"exchange","refund",479
"illegal","animal",479
"income","senior",478
"moderate","income",478
"hygiene","publication",476
"mental","hygiene",476
"publication","check",476
"businesses","including",470
"requests","submitted",470
"unsanitary","conditions",469
"water","sprinkler",468
"garbage","alongside",462
"inspection","procedures",462
"litter","debris",462
"report","litter",462
"restaurant","inspection",462
"criminal","fingerprints",461
"detector","requirements",458
"monoxide","detector",458
"monoxide","emission",458
"poisoning","learn",458
"report","carbon",458
"car","repair",452
"cover","future",446
"future","costs",446
"repair","service",446
"service","lines",446
"health","hazards",444
"afford","insurance",442
"business","opportunities",441
"city","including",438
"contracts","programs",438
"including","contracts",438
"programs","payments",438
"19","zone",435
"zone","rules",435
"including","syringes",433
"medical","waste",433
"waste","including",433
"report","illness",431
"truck","driver",429
"care","provider",427
"properly","secured",427
"tobacco","products",427
"financial","aid",425
"money","owed",420
"recovering","money",420
"business","operating",418
"rubber","tires",418
"business","requirements",414
"fraud","involving",414
"income","sales",414
"involving","sales",414
"payroll","cigarette",414
"personal","income",414
"report","tax",414
"sales","payroll",414
"tax","evasion",414
"academic","programs",413
"campus","locations",413
"including","campus",413
"locations","academic",413
"public","university",413
"university","system",413
"mentally","ill",412
"medical","care",409
"install","radiation",407
"radiation","equipment",407
"including","visitor",406
"inmate","including",406
"rikers","visit",406
"rules","visiting",406
"schedule","travel",406
"travel","directions",406
"visit","bus",406
"visiting","schedule",406
"visitor","rules",406
"adult","vaccinations",405
"conditions","caused",404
"report","unsanitary",404
"school","bus",404
